amount,amount_deviation,new_payee,transaction_velocity,unusual_hour,location_change,new_device,suspicious
3410.62,0.1997,0,0,0,1,0,0
7905.44,0.9919,0,3,0,0,0,0
5872.61,1.0716,0,1,0,0,0,0
1215.96,-0.0073,0,0,0,0,0,0
1693.77,-0.4017,0,0,1,0,0,0
2157.64,0.1329,0,1,0,0,0,0
6256.34,2.2135,0,3,0,0,0,0
2428.59,-0.0353,0,3,0,0,0,0
6627.47,0.8009,0,1,0,0,0,0
4884.25,0.2629,0,0,0,1,0,0
2870.42,0.123,0,1,0,0,0,0
3310.06,3.4523,0,0,0,0,0,0
3601.95,-0.2019,0,0,0,0,0,0
3441.72,-0.245,0,0,0,0,0,0
2632.67,-0.0393,0,0,0,0,0,0
3329.13,0.1827,1,0,0,0,0,0
3486.79,0.0491,0,0,1,0,0,0
6378.89,1.8585,0,0,0,0,0,0
3331.84,-0.1285,0,2,1,0,0,0
5204.47,1.8109,0,0,0,0,0,0
1648.81,-0.0298,0,1,0,0,0,0
3151.8,0.1749,0,0,0,0,0,0
1142.95,-0.0566,1,2,0,0,0,0
942.51,-0.0488,0,0,0,0,0,0
1190.98,0.5857,0,2,0,0,0,0
2270.35,-0.3419,0,1,0,0,0,0
4058.5,-0.1269,0,1,0,1,0,0
1413.91,0.1173,0,0,0,0,0,0
4493.39,0.5043,0,0,0,0,0,0
3619.6,-0.2218,0,0,0,1,0,0
2801.81,-0.1191,0,0,0,0,0,0
11312.12,1.3189,0,1,0,0,0,0
660.15,-0.1218,0,0,1,0,0,0
6638.05,0.4206,0,3,0,0,0,0
15471.51,2.1179,0,0,0,0,0,0
6445.16,0.8103,0,0,0,0,0,0
4770.07,0.0459,0,0,0,0,0,0
1607.46,0.475,0,4,0,0,0,0
781.51,-0.1965,0,0,0,0,0,0
1429.52,-0.4836,0,1,0,0,0,0
2616.79,0.046,1,0,0,0,1,0
564.13,-0.0577,0,1,0,0,0,0
3337.2,-0.0731,0,0,0,0,0,0
1800.53,0.0557,0,2,0,0,0,0
2991.58,-0.3134,0,0,0,0,0,0
3197.56,-0.3445,0,2,0,1,1,0
1612.32,-0.0751,0,0,1,1,0,0
2388.67,-0.01,0,2,0,0,0,0
1672.84,-0.2106,0,0,0,0,0,0
3270.02,0.125,0,0,0,0,0,0
1192.59,-0.0108,0,1,0,0,0,0
4832.69,0.1074,0,1,0,0,0,0
4134.46,-0.0091,0,0,1,0,0,0
2323.0,-0.2519,0,0,0,0,0,0
3820.58,-0.0394,0,0,0,1,0,0
887.46,-0.1395,0,0,0,0,0,0
4515.71,2.2775,0,4,0,0,0,0
2375.3,-0.0366,0,5,0,0,0,0
4243.79,0.4321,0,1,0,0,0,0
1029.81,-0.1261,0,1,0,0,0,0
4309.13,-0.1019,0,0,0,0,0,0
771.75,0.0223,0,5,0,0,1,0
4501.8,0.0619,0,2,1,0,1,0
4706.08,0.158,0,0,0,0,0,0
3314.29,0.1324,0,0,0,0,0,0
2847.63,0.0267,0,0,1,0,0,0
3116.28,-0.2304,0,4,0,0,0,0
892.12,-0.0651,1,0,0,0,0,0
1217.74,0.2204,0,3,0,0,1,0
3084.93,0.0669,0,0,1,0,0,0
1214.17,-0.3542,1,0,0,0,0,0
1423.02,0.2953,0,0,0,0,0,0
1296.1,-0.1907,0,1,0,0,0,0
995.08,0.1416,0,0,0,0,0,0
4481.56,1.7557,0,2,0,0,0,0
4260.03,-0.0828,0,0,0,1,1,0
3725.1,0.5021,0,4,0,0,0,0
7768.48,1.6683,1,1,0,0,1,0
2557.49,-0.1213,0,0,0,0,0,0
1811.81,-0.5253,0,0,0,0,0,0
1422.44,0.2266,0,0,0,0,0,0
2955.71,1.9453,0,0,0,0,0,0
12917.2,2.0018,0,4,0,0,0,0
6472.62,0.3352,1,0,0,0,0,0
3263.06,-0.3216,1,0,0,1,0,0
8267.31,2.5993,0,2,0,0,0,0
2319.11,-0.2506,0,1,0,0,0,0
1050.22,-0.0164,1,0,0,0,0,0
6851.14,1.3263,0,2,0,0,0,0
2138.54,-0.0207,0,2,0,0,0,0
2546.05,0.0323,0,1,0,0,0,0
3805.49,0.05,0,1,0,0,0,0
3938.0,-0.1877,0,0,0,0,1,0
612.01,-0.232,0,0,0,0,0,0
1184.01,-0.0891,1,0,0,0,0,0
5376.99,0.2527,0,2,0,0,1,0
3918.15,0.3922,0,3,0,0,0,0
3453.38,1.9461,0,1,0,0,0,0
2786.7,2.2167,0,7,1,0,0,1
4269.05,0.2234,0,1,0,0,0,0
3385.47,-0.279,0,0,0,0,0,0
2019.15,-0.0794,0,4,0,0,0,0
1128.1,-0.3178,0,0,0,0,0,0
2709.3,-0.4116,0,3,0,0,0,0
1280.73,-0.1555,0,0,1,0,0,0
13374.02,1.886,0,0,0,0,0,0
3525.12,0.1855,0,0,1,0,0,0
1687.5,-0.1351,0,7,0,0,0,0
3738.98,0.7717,0,1,1,0,0,0
12531.51,2.7009,0,0,0,0,0,0
2651.34,0.9099,1,3,1,0,0,0
3688.07,0.1404,1,0,0,0,0,0
4670.06,3.1888,0,3,0,0,0,0
3768.19,-0.0672,0,0,0,0,0,0
2365.44,1.4923,0,3,0,0,0,0
7384.3,1.93,1,1,0,0,0,0
9485.79,1.5108,1,0,0,0,1,0
4183.11,-0.0506,0,2,0,0,0,0
1594.77,-0.3225,0,0,0,0,0,0
2845.06,0.05,0,0,0,0,0,0
7629.1,0.7101,1,0,0,0,0,0
6035.32,0.2258,0,0,0,0,0,0
3007.69,1.2191,0,6,0,0,0,0
983.99,0.1574,1,0,0,0,0,0
2193.05,0.1087,0,0,0,0,0,0
5580.03,0.1494,0,1,0,0,0,0
2847.35,-0.0701,0,0,0,0,1,0
2553.16,-0.2208,0,4,0,0,0,0
2103.85,0.1816,0,0,0,0,0,0
1702.93,-0.025,0,0,0,0,0,0
824.47,-0.1007,0,0,0,0,0,0
2441.43,-0.2343,0,0,0,0,0,0
1530.29,0.2216,0,4,0,0,0,0
2826.52,0.0108,0,0,0,0,1,0
3892.15,-0.1052,0,0,0,0,1,0
1330.02,0.0873,0,3,1,0,0,0
2387.39,-0.1295,0,2,0,0,0,0
2860.72,1.4983,0,3,0,0,0,0
1446.94,1.081,0,1,0,0,0,0
1934.46,0.1905,0,0,0,1,0,0
3662.14,0.0453,0,3,0,0,0,0
11353.7,2.5053,1,1,0,0,0,0
12502.1,2.3116,0,0,1,0,0,0
2530.79,0.0594,0,1,0,0,0,0
3825.51,-0.0076,0,2,0,0,0,0
5759.86,3.0989,0,0,1,1,0,1
13512.51,1.7739,0,5,0,0,1,0
3299.97,-0.1968,0,0,1,0,0,0
2923.11,0.0895,0,2,0,0,0,0
1320.49,-0.0311,0,0,0,0,0,0
3094.73,0.0969,0,2,0,1,0,0
1051.0,-0.1076,0,0,0,0,0,0
3844.22,-0.0573,0,0,0,0,0,0
3978.48,0.3735,0,0,0,0,0,0
3820.73,-0.1482,0,5,0,0,0,0
2687.21,0.2425,0,1,0,0,0,0
15875.62,2.7611,0,0,0,0,0,0
4528.89,0.1839,0,0,0,0,0,0
8738.91,1.6793,0,1,0,0,0,0
6691.27,0.4406,0,2,0,0,0,0
10184.89,1.1723,0,2,1,0,0,0
2244.81,0.4152,0,5,0,0,0,0
2035.06,-0.2931,0,1,0,0,0,0
841.43,0.3617,0,1,0,0,0,0
2433.72,0.0138,0,3,0,0,0,0
3096.69,3.0121,0,2,0,1,0,0
3837.84,0.1522,1,0,0,0,0,0
1433.77,-0.2985,0,2,0,0,0,0
2729.36,0.2645,0,0,0,0,0,0
1624.77,1.2662,0,5,0,0,0,0
4886.85,1.8448,0,0,0,0,0,0
2082.09,-0.3648,0,1,0,0,0,0
4255.95,-0.0021,0,0,0,1,0,0
1117.25,-0.0726,0,4,0,0,0,0
5294.26,0.3832,0,1,0,0,1,0
5059.5,0.3931,0,3,0,0,0,0
19410.85,3.3554,0,3,0,0,0,0
1682.97,0.0712,0,3,0,0,0,0
3094.52,0.0562,0,4,0,0,0,0
4459.04,0.1031,0,0,0,0,1,0
5658.13,0.1815,0,0,0,0,0,0
3248.67,0.9901,0,0,0,0,0,0
4846.88,0.2888,0,0,0,0,0,0
1361.82,-0.0487,0,0,1,0,0,0
5487.83,0.287,0,1,0,0,0,0
524.48,-0.0806,0,1,0,0,0,0
5827.55,0.217,0,1,0,0,0,0
2166.6,0.2233,0,0,1,0,0,0
1772.51,0.008,0,0,0,0,0,0
5489.13,0.1861,0,4,0,0,0,1
3875.19,-0.1022,0,2,0,0,0,0
1682.67,0.2086,0,1,0,0,0,0
3068.12,-0.1798,0,0,0,0,0,0
4011.22,-0.1579,0,0,1,0,0,0
4518.25,0.0624,1,0,0,0,0,0
6231.94,0.5297,0,4,0,1,0,0
2850.92,0.1015,0,0,0,0,0,0
3724.81,0.2816,0,1,0,0,0,0
1051.94,0.3612,0,0,0,0,1,0
1610.7,2.0925,0,2,1,0,0,0
2237.77,-0.1606,0,3,0,0,0,0
2231.27,-0.2054,0,0,0,0,0,0
3633.69,-0.049,0,0,0,0,0,0
3342.65,0.3225,0,0,0,0,0,0
3199.97,0.0026,0,0,0,0,0,0
4625.43,0.2266,1,2,0,0,0,0
1979.05,-0.0425,0,0,0,0,0,0
10429.91,1.4339,0,3,0,0,0,0
2289.19,0.1552,0,0,0,0,0,0
2996.8,0.1704,0,0,0,0,0,0
8533.76,0.8787,0,0,0,0,0,0
4295.83,1.6649,0,1,0,0,0,0
3506.67,-0.0547,0,1,0,1,0,0
1925.98,0.0853,0,1,0,0,0,0
2516.61,-0.098,0,1,0,0,0,0
1677.61,0.3847,0,2,0,1,0,1
706.51,0.1796,0,0,1,0,0,0
934.58,-0.1639,0,2,0,1,0,0
2875.72,-0.2122,0,1,0,0,0,0
2378.94,1.0306,0,2,0,0,0,0
5221.75,0.0511,0,2,0,0,0,0
458.6,-0.2408,0,0,0,0,0,0
4065.34,0.3952,1,1,0,0,0,0
1152.79,0.4957,0,2,0,0,0,0
4886.62,-0.0157,0,2,0,0,0,0
9997.5,1.6461,0,0,0,0,0,0
7702.58,1.9235,0,5,0,0,0,0
3722.27,0.805,1,2,0,0,0,0
1334.73,-0.0061,0,3,1,0,0,0
4536.62,0.0265,0,0,0,0,0,0
2804.82,0.8463,0,0,0,1,0,0
1054.75,-0.022,0,2,0,0,1,0
7819.12,1.5674,0,1,0,0,0,0
1510.97,0.784,0,2,0,0,0,0
2479.12,-0.0833,0,0,0,0,0,0
1965.44,0.2893,0,7,0,0,0,0
2690.46,1.7715,0,0,1,0,0,0
1959.66,-0.0876,0,0,0,0,0,0
2311.31,-0.3797,0,0,0,0,0,0
1532.31,1.3328,1,3,0,0,0,0
4493.76,0.1422,0,1,0,0,1,0
827.78,-0.1105,0,1,0,0,0,0
825.69,-0.2193,0,2,1,0,0,0
8876.71,2.9587,0,2,0,0,1,0
3748.65,0.3526,0,1,0,0,0,0
1940.63,0.5516,0,1,1,0,0,0
3054.4,-0.2974,0,0,0,0,0,0
451.08,-0.1242,0,2,0,0,0,0
8936.06,1.6438,1,5,1,0,0,0
5283.99,1.265,0,6,1,0,0,0
1492.64,0.0236,0,3,0,0,0,0
3553.21,0.3304,0,1,0,0,0,0
3485.68,-0.2274,0,2,0,0,0,0
1425.23,-0.1651,0,0,1,0,0,0
3842.32,0.1944,0,2,0,0,1,0
4322.95,1.4149,0,3,0,0,0,0
10253.87,1.2331,0,1,0,1,0,0
3909.55,-0.2022,0,0,0,0,0,0
4980.44,0.3564,0,2,0,0,0,0
5249.56,1.1647,0,0,0,0,0,0
2115.16,0.242,0,1,0,0,0,0
5574.33,0.2869,1,2,0,0,0,0
3155.21,-0.0848,0,2,0,0,0,0
467.97,-0.1033,0,0,0,0,0,0
7546.62,0.5544,0,2,0,0,0,0
2225.01,2.1987,0,5,0,0,0,0
1603.85,-0.0712,1,2,0,0,0,0
5700.32,0.3037,0,2,0,0,0,0
1797.28,0.1067,0,0,0,0,0,0
12601.34,1.5685,1,1,0,0,0,0
4388.34,1.1439,0,0,0,0,0,0
3285.67,-0.1348,0,1,0,0,0,0
4782.57,0.2299,0,0,0,0,0,0
2406.36,-0.0448,0,0,0,0,0,0
3366.91,-0.0379,0,5,0,0,1,0
1451.43,1.4148,0,0,1,0,0,0
3003.97,-0.0403,0,1,1,0,0,0
1252.71,0.0565,0,0,1,0,0,0
2647.51,0.2106,0,0,0,0,0,0
1040.71,0.0712,0,2,0,0,0,0
4432.7,0.1642,0,0,0,0,0,0
775.86,0.1719,0,2,0,0,0,0
845.56,-0.2647,0,2,0,0,0,0
2374.54,-0.1141,0,3,0,0,0,0
2429.69,0.813,0,1,0,0,0,0
1837.3,-0.386,0,0,1,0,0,0
2603.7,0.2572,0,0,0,0,0,0
4102.09,0.3176,0,0,1,0,0,0
1444.0,-0.2244,0,4,0,0,0,0
12414.94,1.8258,0,0,0,0,1,0
2680.65,0.2085,0,0,0,0,0,0
3620.45,-0.04,0,0,0,0,0,0
7963.28,1.9727,0,4,0,0,0,0
4117.74,-0.1139,0,0,0,0,0,0
5485.36,0.2483,0,1,0,0,0,0
4583.02,0.1184,0,0,0,1,0,0
1142.27,-0.0251,0,0,1,0,0,0
2470.78,-0.242,0,2,0,0,0,0
5026.86,1.1848,0,0,1,0,0,0
3089.91,1.5277,0,1,0,0,1,0
484.58,-0.1342,0,1,1,0,0,0
5075.8,0.1695,0,0,1,0,0,0
4015.36,-0.0996,0,1,0,0,0,0
4069.84,-0.1218,0,1,0,0,1,0
1179.68,0.6692,0,3,0,0,0,0
7810.08,1.3147,0,0,0,0,1,0
1613.05,-0.3004,0,3,0,0,0,0
1254.66,-0.4568,0,4,1,0,0,0
4344.98,0.0586,0,0,0,0,0,0
6028.28,0.9343,1,0,0,0,0,0
2909.95,-0.0269,1,0,0,0,0,0
9774.89,1.6068,0,0,0,0,0,0
519.28,-0.1417,0,1,0,0,0,0
337.77,-0.4781,0,3,0,0,0,0
1385.15,0.0137,1,2,0,0,0,0
2780.74,0.0086,0,2,0,0,0,0
2341.17,-0.1479,0,5,0,0,0,0
3422.6,0.0557,0,0,0,1,0,0
3554.68,0.4108,0,0,0,0,0,0
1671.25,0.1894,0,0,1,0,0,0
2223.97,0.1282,0,1,0,1,0,0
1671.0,-0.0826,0,1,1,0,0,0
1896.74,1.3905,0,1,0,0,0,0
4937.64,1.3175,0,3,0,0,1,0
985.91,0.7514,0,1,0,0,1,0
6551.31,1.6128,0,1,0,0,0,0
2908.65,0.0132,0,0,0,0,1,0
2683.39,-0.1427,1,0,0,0,0,0
869.35,-0.0722,0,4,0,0,0,0
3241.97,-0.2909,1,1,0,0,0,0
3624.63,0.5301,0,2,0,0,0,0
1631.48,-0.1307,0,1,0,0,0,0
2685.96,-0.1327,0,0,1,0,0,0
2570.61,0.0309,0,2,0,0,0,0
4744.14,0.1843,0,1,0,0,0,0
4414.7,-0.0395,0,1,0,0,0,0
2011.28,-0.3967,0,2,0,0,0,0
4186.49,0.0427,0,0,0,0,1,0
4923.88,0.0174,0,0,0,0,0,0
4150.27,0.1821,0,5,0,0,1,0
5537.47,0.2473,0,2,0,0,0,0
5855.85,0.4192,0,0,0,0,0,0
1016.85,0.3125,0,0,1,0,1,0
7041.63,1.0787,0,0,0,0,0,0
2848.95,1.3172,0,1,0,0,0,0
1243.77,0.0099,0,1,0,0,0,0
7406.13,1.1517,1,3,1,0,0,1
5150.94,0.0335,1,0,0,1,1,0
2519.83,-0.3183,0,0,0,0,0,0
2073.7,0.1832,1,0,0,0,0,0
11534.71,1.5117,0,0,0,0,0,0
2039.74,-0.184,0,3,0,0,0,0
4428.57,0.0173,0,1,0,0,0,0
4998.04,0.0078,0,4,0,0,0,0
2413.5,0.3782,0,0,0,0,0,0
1736.62,-0.1056,0,4,0,0,0,0
6398.98,0.3264,1,1,1,0,0,1
6435.87,1.605,0,0,0,1,0,0
2515.1,-0.3683,0,0,0,0,0,0
1257.27,-0.0537,0,4,0,0,0,0
2443.13,0.2155,0,0,0,0,0,0
1938.12,-0.1511,0,1,0,0,0,0
3124.82,-0.0087,0,0,0,0,0,0
4876.24,0.0121,0,1,0,0,0,0
810.94,-0.4934,0,0,0,0,0,0
4264.14,-0.0324,0,0,1,0,1,0
7377.12,1.7217,0,2,0,0,0,0
2930.85,-0.1795,0,0,0,0,0,0
1308.6,0.0944,0,0,0,0,0,0
3058.85,-0.0712,0,0,0,0,1,0
4837.01,0.2014,0,4,0,0,0,0
2378.56,-0.1815,1,0,0,0,0,0
680.37,-0.1302,0,1,0,0,0,0
3511.62,-0.2721,0,4,0,0,0,0
27562.53,7.4179,0,0,0,0,0,1
4975.41,0.0647,0,0,0,0,1,0
8213.43,2.6593,0,1,0,0,0,0
1305.43,-0.0628,0,1,0,0,0,0
3751.48,-0.0273,1,0,0,0,0,0
2861.82,1.1197,0,0,0,0,0,0
1188.38,0.1455,0,0,0,0,0,0
13114.68,1.6817,0,5,0,0,0,0
820.68,0.0043,0,2,0,0,0,0
5001.76,0.0195,0,1,0,0,0,0
1056.88,0.1056,0,0,0,0,0,0
3390.16,-0.1961,0,0,0,0,0,0
3508.73,0.1211,0,0,0,0,1,0
6984.92,1.51,1,3,0,0,0,0
3068.79,0.0381,0,0,0,0,0,0
10248.1,1.3755,0,0,0,0,0,0
3186.55,-0.1538,0,1,0,0,0,0
3096.5,-0.1842,0,2,0,0,0,0
2948.39,-0.0019,0,0,1,0,0,0
796.31,-0.0411,0,2,0,0,0,0
2148.54,-0.0767,0,3,0,0,1,0
10527.67,1.125,0,0,0,0,0,0
8810.72,1.9148,0,1,1,0,0,0
1305.86,0.0604,0,0,0,1,0,0
1011.83,-0.0111,0,2,1,0,0,0
4750.39,0.1914,0,0,0,0,0,0
4367.57,-0.0356,0,1,0,0,0,0
1949.52,-0.4075,0,0,0,0,0,0
970.02,-0.1292,0,0,0,0,0,0
4835.82,-0.0249,0,1,1,0,0,0
807.73,0.5947,0,1,0,0,0,0
2157.06,0.0873,0,0,0,0,0,0
4872.03,0.2766,0,2,0,0,0,0
2585.67,-0.1127,0,0,0,0,0,0
1123.47,-0.1838,0,1,1,0,0,0
2349.04,0.0841,0,0,0,0,0,0
2116.75,-0.007,0,3,0,0,0,0
4592.39,1.6783,1,0,0,0,0,0
4101.7,0.0952,0,0,0,0,1,0
4471.48,0.1171,1,5,0,0,0,0
3417.97,-0.0435,0,1,0,0,0,0
1997.24,-0.1621,0,2,1,0,0,0
2059.45,0.3285,0,0,0,0,0,0
1206.47,-0.188,0,2,0,0,0,0
731.21,-0.1844,0,1,0,0,1,0
2879.29,-0.1191,0,2,0,1,0,0
961.56,0.1998,0,1,0,0,0,0
4683.89,0.2189,0,1,0,0,0,0
4203.35,0.0808,0,0,0,0,0,0
1058.52,0.7427,0,1,0,0,0,0
9327.92,1.701,0,0,0,0,0,0
29817.84,7.7472,1,1,0,1,0,1
3824.25,0.1006,0,2,1,0,0,0
4997.74,0.0925,0,2,1,0,0,0
1887.91,0.9813,0,5,0,0,0,0
1595.42,1.5812,0,4,0,0,0,0
1495.16,-0.0871,0,1,0,0,1,0
3220.53,-0.2018,0,3,0,1,0,0
1352.43,-0.2448,0,1,0,0,0,0
1610.01,0.5289,0,3,1,0,0,0
2622.19,-0.0074,1,1,0,1,0,0
3349.88,0.1981,0,2,0,0,0,0
3946.55,0.3277,0,1,1,0,0,0
4386.41,-0.0687,0,0,0,0,0,0
3655.76,1.5024,0,1,0,0,0,0
3095.47,0.9036,0,3,0,0,1,1
4589.85,1.8706,0,2,0,0,0,0
2760.71,0.1484,0,0,0,0,0,0
1514.97,-0.1762,0,1,0,0,0,0
4941.99,0.2146,0,5,0,0,0,0
1708.49,0.2485,0,3,0,0,0,0
5467.78,2.2302,0,0,0,0,0,0
1418.21,0.1094,0,1,0,0,0,0
5409.5,0.087,0,1,0,0,0,0
6203.5,0.5602,0,2,0,0,0,0
2795.16,0.9448,0,1,0,0,0,0
3861.51,-0.0105,0,2,0,0,0,0
1215.67,-0.0944,0,1,1,0,1,0
3906.63,-0.1056,0,0,0,0,0,0
1552.89,0.8719,0,0,0,0,0,0
4374.9,1.466,0,2,0,0,0,0
5792.51,0.1784,0,0,0,0,0,0
5721.74,0.9115,0,0,0,1,0,0
5263.52,0.2364,1,0,0,0,0,0
3523.37,0.1239,1,0,0,0,0,0
3891.97,-0.1902,0,1,0,0,1,0
4316.82,0.1012,0,1,0,0,0,0
7536.08,0.9143,0,3,0,0,0,0
13423.84,2.5255,0,0,0,0,0,0
1244.73,-0.0331,0,1,0,0,0,0
5000.8,0.1277,0,0,0,0,0,0
6989.02,2.2505,0,5,0,0,0,1
6908.03,0.4788,0,3,0,0,0,0
11729.61,1.6293,0,0,0,0,0,0
1882.15,0.0117,0,1,1,0,0,0
5923.55,0.438,0,0,0,0,0,0
2773.71,-0.2148,1,1,0,0,0,0
2038.03,-0.4068,1,2,0,0,0,0
1192.14,0.0424,0,0,0,0,0,0
4191.53,-0.1304,0,1,0,0,0,0
1693.62,-0.2822,0,2,0,0,0,0
1424.34,-0.2911,0,3,0,0,0,0
18064.49,3.1694,0,0,0,0,0,0
3776.54,2.164,0,0,1,0,0,0
4072.2,0.0172,1,2,0,0,0,0
7487.44,1.6857,0,1,0,0,0,0
3502.22,0.1141,1,1,0,0,0,0
1647.56,-0.1774,0,0,0,0,0,0
2902.17,0.2234,0,2,0,0,0,0
2285.51,0.0532,0,1,0,0,0,0
3713.39,-0.0218,0,2,0,0,0,0
5502.36,0.1598,0,3,0,0,0,0
3900.6,-0.0427,0,0,0,0,0,0
1053.43,0.1023,0,1,0,0,1,0
882.72,-0.0955,1,1,0,0,0,0
2632.33,-0.3723,0,0,0,0,0,0
3015.29,-0.1842,0,0,0,0,0,0
475.44,-0.2386,0,0,0,0,0,0
5444.32,1.3378,1,0,1,0,0,1
2800.81,0.4097,0,2,0,0,0,0
643.47,-0.2138,0,0,0,1,0,0
15452.98,2.2012,0,0,1,0,1,1
26059.38,7.0409,0,4,0,0,0,1
1232.61,0.0171,0,0,0,0,0,0
1007.71,-0.2355,0,1,0,0,0,0
6210.81,0.7424,0,2,0,0,0,0
2082.05,0.1628,0,3,0,0,0,0
1004.64,0.0774,1,2,1,1,0,0
4815.51,0.011,0,4,0,0,0,0
12029.84,1.5248,0,2,1,0,0,0
2072.89,0.3824,0,0,1,0,0,0
1030.03,-0.2225,0,4,0,0,0,0
1015.71,-0.017,0,1,1,0,0,0
4719.57,0.0114,0,0,0,0,0,0
5350.24,0.6187,0,4,0,1,0,1
1882.74,1.0874,0,2,0,0,0,0
2306.65,-0.1299,0,1,0,0,1,0
4674.3,0.1833,1,1,0,0,0,0
8257.05,1.1514,0,0,0,0,0,0
1032.84,0.0672,0,3,0,0,0,0
1446.09,-0.1199,0,0,0,0,0,0
3258.71,-0.0003,0,1,0,0,0,0
3867.72,0.0936,0,0,0,0,0,0
2780.27,1.5843,1,1,0,1,0,0
595.96,-0.308,0,0,0,0,0,0
3589.7,0.3716,0,1,0,0,0,0
1168.44,-0.2663,0,0,0,0,0,0
4975.78,0.5302,0,3,0,0,0,0
2458.46,-0.0981,0,0,1,0,0,0
4473.45,0.2062,0,0,1,0,1,0
16649.05,2.436,0,0,0,0,0,0
3049.21,0.8232,0,3,0,1,0,1
5139.15,0.2102,0,1,0,0,0,0
4003.97,0.1222,0,0,0,0,0,0
1521.32,-0.2648,0,3,0,0,0,0
4640.36,0.1651,0,2,1,0,0,0
7323.36,1.4037,0,1,0,0,1,0
1245.14,-0.0589,1,0,0,0,0,0
11308.34,1.2854,0,7,0,0,0,0
1472.79,0.025,0,4,0,0,0,0
22199.12,6.6918,0,0,0,0,0,1
1326.9,0.9568,0,2,0,0,0,0
4600.18,0.4766,0,1,0,0,0,0
4098.68,1.813,0,0,0,0,0,0
608.57,-0.0041,0,4,0,0,0,0
530.11,-0.4474,0,1,0,0,0,0
25413.79,6.4643,0,3,0,0,0,1
2364.94,0.2175,0,0,0,0,0,0
5013.97,0.0054,0,4,0,1,0,0
4270.42,-0.072,0,0,0,0,0,0
3390.57,-0.2246,0,1,0,0,0,0
2038.01,-0.2504,0,2,0,0,0,0
8168.43,0.8945,0,0,0,0,0,0
1089.04,-0.0044,0,0,0,0,0,0
3805.24,0.477,0,2,0,0,0,0
4867.95,0.3264,0,2,0,0,0,0
7477.58,3.0517,0,0,1,0,0,0
3538.8,-0.19,0,1,1,0,0,0
3689.07,0.5758,1,2,0,0,0,0
1555.04,0.1056,0,2,1,0,0,0
1745.25,0.1477,0,1,1,0,0,0
4133.03,0.0881,0,1,0,0,0,0
4699.82,0.1732,1,0,0,0,0,0
731.84,-0.0429,1,5,0,1,0,0
